election_type,state,constituency_id,constituency,district,district_role,mapping_confidence,notes,district_weight_estimate,overlap_method,source
lok_sabha,Arunachal Pradesh,ARUNACHAL_PRADESH__ARUNACHAL_EAST,ARUNACHAL EAST,,unknown,manual_needed,No automatic match — requires manual district assignment or future GIS overlap,,,constituency_table_2019
lok_sabha,Arunachal Pradesh,ARUNACHAL_PRADESH__ARUNACHAL_WEST,ARUNACHAL WEST,,unknown,manual_needed,No automatic match — requires manual district assignment or future GIS overlap,,,constituency_table_2019
lok_sabha,Assam,ASSAM__AUTONOMOUS_DISTRICT,Autonomous District,,unknown,manual_needed,No automatic match — requires manual district assignment or future GIS overlap,,,constituency_table_2019
lok_sabha,Assam,ASSAM__BARPETA,Barpeta,BARPETA,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Assam,ASSAM__DHUBRI,Dhubri,DHUBRI,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Assam,ASSAM__DIBRUGARH,Dibrugarh,DIBRUGARH,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Assam,ASSAM__GAUHATI,Gauhati,,unknown,manual_needed,No automatic match — requires manual district assignment or future GIS overlap,,,constituency_table_2019
lok_sabha,Assam,ASSAM__JORHAT,Jorhat,JORHAT,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Assam,ASSAM__KALIABOR,Kaliabor,,unknown,manual_needed,No automatic match — requires manual district assignment or future GIS overlap,,,constituency_table_2019
lok_sabha,Assam,ASSAM__KARIMGANJ,Karimganj,KARIMGANJ,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Assam,ASSAM__KOKRAJHAR,Kokrajhar,KOKRAJHAR,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Assam,ASSAM__LAKHIMPUR,Lakhimpur,LAKHIMPUR,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Assam,ASSAM__MANGALDOI,Mangaldoi,,unknown,manual_needed,No automatic match — requires manual district assignment or future GIS overlap,,,constituency_table_2019
lok_sabha,Assam,ASSAM__NOWGONG,Nowgong,,unknown,manual_needed,No automatic match — requires manual district assignment or future GIS overlap,,,constituency_table_2019
lok_sabha,Assam,ASSAM__SILCHAR,Silchar,,unknown,manual_needed,No automatic match — requires manual district assignment or future GIS overlap,,,constituency_table_2019
lok_sabha,Assam,ASSAM__TEZPUR,Tezpur,,unknown,manual_needed,No automatic match — requires manual district assignment or future GIS overlap,,,constituency_table_2019
lok_sabha,Bihar,BIHAR__ARARIA,Araria,ARARIA,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Bihar,BIHAR__ARRAH,Arrah,,unknown,manual_needed,No automatic match — requires manual district assignment or future GIS overlap,,,constituency_table_2019
lok_sabha,Bihar,BIHAR__AURANGABAD,Aurangabad,AURANGABAD,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Bihar,BIHAR__BANKA,Banka,BANKA,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Bihar,BIHAR__BEGUSARAI,Begusarai,BEGUSARAI,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Bihar,BIHAR__BHAGALPUR,Bhagalpur,BHAGALPUR,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Bihar,BIHAR__BUXAR,Buxar,BUXAR,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Bihar,BIHAR__DARBHANGA,Darbhanga,DARBHANGA,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Bihar,BIHAR__GAYA_(SC),Gaya (SC),GAYA,partial,medium,Name overlap: constituency='GAYA SC' district='GAYA',,,constituency_table_2019
lok_sabha,Bihar,BIHAR__GOPALGANJ_(SC),Gopalganj (SC),GOPALGANJ,partial,medium,Name overlap: constituency='GOPALGANJ SC' district='GOPALGANJ',,,constituency_table_2019
lok_sabha,Bihar,BIHAR__HAJIPUR_(SC),Hajipur (SC),,unknown,manual_needed,No automatic match — requires manual district assignment or future GIS overlap,,,constituency_table_2019
lok_sabha,Bihar,BIHAR__JAHANABAD,Jahanabad,,unknown,manual_needed,No automatic match — requires manual district assignment or future GIS overlap,,,constituency_table_2019
lok_sabha,Bihar,BIHAR__JAMUI_(SC),Jamui (SC),JAMUI,partial,medium,Name overlap: constituency='JAMUI SC' district='JAMUI',,,constituency_table_2019
lok_sabha,Bihar,BIHAR__JHANJHARPUR,Jhanjharpur,,unknown,manual_needed,No automatic match — requires manual district assignment or future GIS overlap,,,constituency_table_2019
lok_sabha,Bihar,BIHAR__KARAKAT,Karakat,,unknown,manual_needed,No automatic match — requires manual district assignment or future GIS overlap,,,constituency_table_2019
lok_sabha,Bihar,BIHAR__KATIHAR,Katihar,KATIHAR,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Bihar,BIHAR__KHAGARIA,Khagaria,KHAGARIA,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Bihar,BIHAR__KISHANGANJ,Kishanganj,KISHANGANJ,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Bihar,BIHAR__MADHEPURA,Madhepura,MADHEPURA,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Bihar,BIHAR__MADHUBANI,Madhubani,MADHUBANI,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Bihar,BIHAR__MAHARAJGANJ,Maharajganj,,unknown,manual_needed,No automatic match — requires manual district assignment or future GIS overlap,,,constituency_table_2019
lok_sabha,Bihar,BIHAR__MUNGER,Munger,MUNGER,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Bihar,BIHAR__MUZAFFARPUR,Muzaffarpur,MUZAFFARPUR,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Bihar,BIHAR__NALANDA,Nalanda,NALANDA,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Bihar,BIHAR__NAWADA,Nawada,NAWADA,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Bihar,BIHAR__PASCHIM_CHAMPARAN,Paschim Champaran,,unknown,manual_needed,No automatic match — requires manual district assignment or future GIS overlap,,,constituency_table_2019
lok_sabha,Bihar,BIHAR__PATALIPUTRA,Pataliputra,,unknown,manual_needed,No automatic match — requires manual district assignment or future GIS overlap,,,constituency_table_2019
lok_sabha,Bihar,BIHAR__PATNA_SAHIB,Patna Sahib,PATNA,partial,medium,Name overlap: constituency='PATNA SAHIB' district='PATNA',,,constituency_table_2019
lok_sabha,Bihar,BIHAR__PURNIA,Purnia,PURNIA,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Bihar,BIHAR__PURVI_CHAMPARAN,Purvi Champaran,,unknown,manual_needed,No automatic match — requires manual district assignment or future GIS overlap,,,constituency_table_2019
lok_sabha,Bihar,BIHAR__SAMASTIPUR_(SC),Samastipur (SC),SAMASTIPUR,partial,medium,Name overlap: constituency='SAMASTIPUR SC' district='SAMASTIPUR',,,constituency_table_2019
lok_sabha,Bihar,BIHAR__SARAN,Saran,SARAN,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Bihar,BIHAR__SASARAM_(SC),Sasaram (SC),,unknown,manual_needed,No automatic match — requires manual district assignment or future GIS overlap,,,constituency_table_2019
lok_sabha,Bihar,BIHAR__SHEOHAR,Sheohar,SHEOHAR,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Bihar,BIHAR__SITAMARHI,Sitamarhi,SITAMARHI,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Bihar,BIHAR__SIWAN,Siwan,SIWAN,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Bihar,BIHAR__SUPAUL,Supaul,SUPAUL,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Bihar,BIHAR__UJIARPUR,Ujiarpur,,unknown,manual_needed,No automatic match — requires manual district assignment or future GIS overlap,,,constituency_table_2019
lok_sabha,Bihar,BIHAR__VAISHALI,Vaishali,VAISHALI,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Bihar,BIHAR__VALMIKI_NAGAR,Valmiki Nagar,,unknown,manual_needed,No automatic match — requires manual district assignment or future GIS overlap,,,constituency_table_2019
lok_sabha,Chandigarh,CHANDIGARH__CHANDIGARH,CHANDIGARH,CHANDIGARH,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Chhattisgarh,CHHATTISGARH__BASTAR,BASTAR,BASTAR,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Chhattisgarh,CHHATTISGARH__BILASPUR,BILASPUR,BILASPUR,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Chhattisgarh,CHHATTISGARH__DURG,DURG,DURG,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Chhattisgarh,CHHATTISGARH__JANJGIR-CHAMPA,JANJGIR-CHAMPA,JANJGIR - CHAMPA,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Chhattisgarh,CHHATTISGARH__KANKER,KANKER,UTTAR BASTAR KANKER,partial,medium,Name overlap: constituency='KANKER' district='UTTAR BASTAR KANKER',,,constituency_table_2019
lok_sabha,Chhattisgarh,CHHATTISGARH__KORBA,KORBA,KORBA,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Chhattisgarh,CHHATTISGARH__MAHASAMUND,MAHASAMUND,MAHASAMUND,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Chhattisgarh,CHHATTISGARH__RAIGARH,RAIGARH,RAIGARH,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Chhattisgarh,CHHATTISGARH__RAIPUR,RAIPUR,RAIPUR,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Chhattisgarh,CHHATTISGARH__RAJNANDGAON,RAJNANDGAON,RAJNANDGAON,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Chhattisgarh,CHHATTISGARH__SARGUJA,SARGUJA,,unknown,manual_needed,No automatic match — requires manual district assignment or future GIS overlap,,,constituency_table_2019
lok_sabha,Dadra & Nagar Haveli,DADRA_&_NAGAR_HAVELI__DADRA_AND_NAGAR_HAVELI,Dadra And Nagar Haveli,DADRA & NAGAR HAVELI,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Daman & Diu,DAMAN_&_DIU__DAMAN_&_DIU,Daman & diu,DIU,partial,medium,Name overlap: constituency='DAMAN AND DIU' district='DIU',,,constituency_table_2019
lok_sabha,Daman & Diu,DAMAN_&_DIU__DAMAN_&_DIU,Daman & diu,DAMAN,partial,medium,Name overlap: constituency='DAMAN AND DIU' district='DAMAN',,,constituency_table_2019
lok_sabha,Goa,GOA__NORTH_GOA,North Goa,NORTH GOA,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Goa,GOA__SOUTH_GOA,South Goa,SOUTH GOA,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Gujarat,GUJARAT__AHMEDABAD_EAST,Ahmedabad East,,unknown,manual_needed,No automatic match — requires manual district assignment or future GIS overlap,,,constituency_table_2019
lok_sabha,Gujarat,GUJARAT__AHMEDABAD_WEST,Ahmedabad West,,unknown,manual_needed,No automatic match — requires manual district assignment or future GIS overlap,,,constituency_table_2019
lok_sabha,Gujarat,GUJARAT__AMRELI,Amreli,AMRELI,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Gujarat,GUJARAT__ANAND,Anand,ANAND,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Gujarat,GUJARAT__BANASKANTHA,Banaskantha,,unknown,manual_needed,No automatic match — requires manual district assignment or future GIS overlap,,,constituency_table_2019
lok_sabha,Gujarat,GUJARAT__BARDOLI,Bardoli,,unknown,manual_needed,No automatic match — requires manual district assignment or future GIS overlap,,,constituency_table_2019
lok_sabha,Gujarat,GUJARAT__BHARUCH,Bharuch,BHARUCH,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Gujarat,GUJARAT__BHAVNAGAR,Bhavnagar,BHAVNAGAR,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Gujarat,GUJARAT__CHHOTA_UDAIPUR,Chhota Udaipur,,unknown,manual_needed,No automatic match — requires manual district assignment or future GIS overlap,,,constituency_table_2019
lok_sabha,Gujarat,GUJARAT__DAHOD,Dahod,,unknown,manual_needed,No automatic match — requires manual district assignment or future GIS overlap,,,constituency_table_2019
lok_sabha,Gujarat,GUJARAT__GANDHINAGAR,Gandhinagar,GANDHINAGAR,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Gujarat,GUJARAT__JAMNAGAR,Jamnagar,JAMNAGAR,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Gujarat,GUJARAT__JUNAGADH,Junagadh,JUNAGADH,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Gujarat,GUJARAT__KACHCHH,Kachchh,KACHCHH,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Gujarat,GUJARAT__KHEDA,Kheda,KHEDA,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Gujarat,GUJARAT__MAHESANA,Mahesana,MAHESANA,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Gujarat,GUJARAT__NAVSARI,Navsari,NAVSARI,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Gujarat,GUJARAT__PANCHMAHAL,Panchmahal,,unknown,manual_needed,No automatic match — requires manual district assignment or future GIS overlap,,,constituency_table_2019
lok_sabha,Gujarat,GUJARAT__PATAN,Patan,PATAN,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Gujarat,GUJARAT__PORBANDAR,Porbandar,PORBANDAR,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Gujarat,GUJARAT__RAJKOT,Rajkot,RAJKOT,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Gujarat,GUJARAT__SABARKANTHA,Sabarkantha,,unknown,manual_needed,No automatic match — requires manual district assignment or future GIS overlap,,,constituency_table_2019
lok_sabha,Gujarat,GUJARAT__SURAT,Surat,SURAT,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Gujarat,GUJARAT__SURENDRANAGAR,Surendranagar,SURENDRANAGAR,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Gujarat,GUJARAT__VADODARA,Vadodara,VADODARA,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Gujarat,GUJARAT__VALSAD,Valsad,VALSAD,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Haryana,HARYANA__AMBALA,Ambala,AMBALA,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Haryana,HARYANA__BHIWANI-MAHENDRAGARH,Bhiwani-Mahendragarh,BHIWANI,partial,medium,Name overlap: constituency='BHIWANI MAHENDRAGARH' district='BHIWANI',,,constituency_table_2019
lok_sabha,Haryana,HARYANA__BHIWANI-MAHENDRAGARH,Bhiwani-Mahendragarh,MAHENDRAGARH,partial,medium,Name overlap: constituency='BHIWANI MAHENDRAGARH' district='MAHENDRAGARH',,,constituency_table_2019
lok_sabha,Haryana,HARYANA__FARIDABAD,Faridabad,FARIDABAD,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Haryana,HARYANA__GURGAON,Gurgaon,GURGAON,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Haryana,HARYANA__HISAR,Hisar,HISAR,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Haryana,HARYANA__KARNAL,Karnal,KARNAL,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Haryana,HARYANA__KURUKSHETRA,Kurukshetra,KURUKSHETRA,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Haryana,HARYANA__ROHTAK,Rohtak,ROHTAK,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Haryana,HARYANA__SIRSA,Sirsa,SIRSA,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Haryana,HARYANA__SONIPAT,Sonipat,SONIPAT,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Himachal Pradesh,HIMACHAL_PRADESH__HAMIRPUR,Hamirpur,HAMIRPUR,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Himachal Pradesh,HIMACHAL_PRADESH__KANGRA,Kangra,KANGRA,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Himachal Pradesh,HIMACHAL_PRADESH__MANDI,Mandi,MANDI,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Himachal Pradesh,HIMACHAL_PRADESH__SHIMLA,Shimla,SHIMLA,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Jammu & Kashmir,JAMMU_&_KASHMIR__ANANTNAG,Anantnag,ANANTNAG,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Jammu & Kashmir,JAMMU_&_KASHMIR__BARAMULLA,Baramulla,,unknown,manual_needed,No automatic match — requires manual district assignment or future GIS overlap,,,constituency_table_2019
lok_sabha,Jammu & Kashmir,JAMMU_&_KASHMIR__JAMMU,Jammu,JAMMU,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Jammu & Kashmir,JAMMU_&_KASHMIR__LADAKH,Ladakh,LEH(LADAKH),partial,medium,Name overlap: constituency='LADAKH' district='LEH LADAKH',,,constituency_table_2019
lok_sabha,Jammu & Kashmir,JAMMU_&_KASHMIR__SRINAGAR,Srinagar,SRINAGAR,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Jammu & Kashmir,JAMMU_&_KASHMIR__UDHAMPUR,Udhampur,UDHAMPUR,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Jharkhand,JHARKHAND__CHATRA,Chatra,CHATRA,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Jharkhand,JHARKHAND__DHANBAD,Dhanbad,DHANBAD,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Jharkhand,JHARKHAND__DUMKA,Dumka,DUMKA,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Jharkhand,JHARKHAND__GIRIDIH,Giridih,GIRIDIH,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Jharkhand,JHARKHAND__GODDA,Godda,GODDA,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Jharkhand,JHARKHAND__HAZARIBAGH,Hazaribagh,HAZARIBAGH,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Jharkhand,JHARKHAND__JAMSHEDPUR,Jamshedpur,,unknown,manual_needed,No automatic match — requires manual district assignment or future GIS overlap,,,constituency_table_2019
lok_sabha,Jharkhand,JHARKHAND__KHUNTI,Khunti,KHUNTI,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Jharkhand,JHARKHAND__KODARMA,Kodarma,KODARMA,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Jharkhand,JHARKHAND__LOHARDAGA,Lohardaga,LOHARDAGA,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Jharkhand,JHARKHAND__PALAMAU,Palamau,,unknown,manual_needed,No automatic match — requires manual district assignment or future GIS overlap,,,constituency_table_2019
lok_sabha,Jharkhand,JHARKHAND__RAJMAHAL,Rajmahal,,unknown,manual_needed,No automatic match — requires manual district assignment or future GIS overlap,,,constituency_table_2019
lok_sabha,Jharkhand,JHARKHAND__RANCHI,Ranchi,RANCHI,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Jharkhand,JHARKHAND__SINGHBHUM,Singhbhum,PURBI SINGHBHUM,partial,medium,Name overlap: constituency='SINGHBHUM' district='PURBI SINGHBHUM',,,constituency_table_2019
lok_sabha,Jharkhand,JHARKHAND__SINGHBHUM,Singhbhum,PASHCHIMI SINGHBHUM,partial,medium,Name overlap: constituency='SINGHBHUM' district='PASHCHIMI SINGHBHUM',,,constituency_table_2019
lok_sabha,Karnataka,KARNATAKA__BAGALKOT,Bagalkot,BAGALKOT,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Karnataka,KARNATAKA__BANGALORE_NORTH,Bangalore North,BANGALORE,partial,medium,Name overlap: constituency='BANGALORE NORTH' district='BANGALORE',,,constituency_table_2019
lok_sabha,Karnataka,KARNATAKA__BANGALORE_RURAL,Bangalore Rural,BANGALORE RURAL,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Karnataka,KARNATAKA__BANGALORE_SOUTH,Bangalore South,BANGALORE,partial,medium,Name overlap: constituency='BANGALORE SOUTH' district='BANGALORE',,,constituency_table_2019
lok_sabha,Karnataka,KARNATAKA__BANGALORE_CENTRAL,Bangalore central,BANGALORE,partial,medium,Name overlap: constituency='BANGALORE CENTRAL' district='BANGALORE',,,constituency_table_2019
lok_sabha,Karnataka,KARNATAKA__BELGAUM,Belgaum,BELGAUM,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Karnataka,KARNATAKA__BELLARY,Bellary,BELLARY,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Karnataka,KARNATAKA__BIDAR,Bidar,BIDAR,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Karnataka,KARNATAKA__BIJAPUR,Bijapur,BIJAPUR,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Karnataka,KARNATAKA__CHAMARAJANAGAR,Chamarajanagar,CHAMARAJANAGAR,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Karnataka,KARNATAKA__CHIKKBALLAPUR,Chikkballapur,,unknown,manual_needed,No automatic match — requires manual district assignment or future GIS overlap,,,constituency_table_2019
lok_sabha,Karnataka,KARNATAKA__CHIKKODI,Chikkodi,,unknown,manual_needed,No automatic match — requires manual district assignment or future GIS overlap,,,constituency_table_2019
lok_sabha,Karnataka,KARNATAKA__CHITRADURGA,Chitradurga,CHITRADURGA,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Karnataka,KARNATAKA__DAKSHINA_KANNADA,Dakshina Kannada,DAKSHINA KANNADA,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Karnataka,KARNATAKA__DAVANAGERE,Davanagere,DAVANAGERE,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Karnataka,KARNATAKA__DHARWAD,Dharwad,DHARWAD,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Karnataka,KARNATAKA__GULBARGA,Gulbarga,GULBARGA,primary,high,Exact constituency/district name match,,,constituency_table_2019
